Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Income,LoanAmount,Term,Credit_History,Property_Area,Loan_Status
LP002926,Male,Yes,2,Graduate,Yes,2726,106,360,0,Semiurban,N
LP002928,Male,Yes,0,Graduate,No,3000,56,180,1,Semiurban,Y
LP002936,Male,Yes,0,Graduate,No,3859,142,180,1,Rural,Y
LP002940,Male,No,0,Not Graduate,No,3833,110,360,1,Rural,Y
LP002943,Male,No,,Graduate,No,2987,88,360,0,Semiurban,N
LP002953,Male,Yes,3+,Graduate,No,5703,128,360,1,Urban,Y
LP002974,Male,Yes,0,Graduate,No,3232,108,360,1,Rural,Y
LP002978,Female,No,0,Graduate,No,2900,71,360,1,Rural,Y
LP002979,Male,Yes,3+,Graduate,No,4106,40,180,1,Rural,Y
LP002990,Female,No,0,Graduate,Yes,4583,133,360,0,Semiurban,N
